Date,Language,Count
2017-04-19,English,1
2017-04-09,English,1
2017-04-08,English,2
2017-04-07,English,1
2017-03-19,Indonesian,1
2017-03-08,English,1
2016-12-21,English,1
2016-11-13,English,1
2016-11-10,English,1
2016-11-03,Hungarian,1
2016-10-06,Spanish,1
2016-10-01,English,1
2016-08-30,English,1
2016-08-26,Turkish,1
2016-08-24,Indonesian,1
2016-08-21,Chinese (Traditional),1
2016-07-19,German,1
2016-06-21,English,1
2016-04-09,English,1
2016-03-16,Arabic,1
2016-02-03,English,1
2016-01-20,English,1
2016-01-14,English,1
2015-12-27,English,1
2015-12-05,German,2
2015-12-04,Greek,1
2015-11-28,Italian,1
2015-11-27,English,1
2015-11-18,Chinese (Traditional),1
2015-11-04,English,1
2015-10-18,Japanese,1
2015-09-27,Hungarian,1
2015-09-21,English,1
2015-09-11,English,1
2015-08-25,English,1
2015-08-09,German,1
2015-07-20,English,1
2015-07-19,Russian,1
2015-07-11,English,1
2015-06-12,German,1
2015-06-07,English,1
2015-06-04,English,1
2015-05-25,English,1
2015-05-22,English,1
2015-05-14,English,1
2015-05-13,English,1
2015-05-09,Russian,1
2015-05-05,Polish,1
2015-05-04,Russian,1
2015-05-02,English,1
2015-04-03,Russian,1
2015-04-02,English,1
2015-03-16,Spanish,1
2015-03-11,English,1
2015-03-03,English,1
2015-02-24,Russian,1
2015-02-16,English,1
2015-02-02,English,1
2015-01-20,English,1
2015-01-05,English,1
2014-12-13,Italian,1
2014-12-10,Spanish,1
2014-12-06,English,1
2014-12-05,English,1
2014-11-27,Spanish,1
2014-10-21,English,1
2014-10-14,Russian,1
2014-10-06,Spanish,1
2014-10-06,English,1
2014-10-04,Russian,1
2014-09-18,Italian,1
2014-09-04,English,1
2014-08-28,Spanish,1
2014-08-22,English,1
2014-08-14,English,1
2014-08-11,Chinese (Simplified),1
2014-07-17,Russian,1
2014-07-10,French,1
2014-06-29,Russian,1
2014-06-23,Hungarian,1
2014-06-17,Portuguese,1
2014-05-25,Japanese,1
2014-05-05,English,1
2014-04-27,English,2
2014-04-13,English,1
2014-04-08,Portuguese,1
2014-03-26,English,1
2014-03-12,German,1
2014-03-04,Italian,1
2014-02-23,Polish,1
2014-02-10,Czech,1
2014-01-22,Polish,1
2014-01-21,English,1
2014-01-03,Spanish,1
2013-12-26,Spanish,1
2013-12-26,Russian,1
2013-12-10,English,1
2013-11-22,Japanese,1
2013-11-02,English,1
2013-10-20,English,1
2013-10-07,Danish,1
2013-10-04,English,1
2013-09-28,French,1
2013-09-08,Spanish,1
2013-07-06,English,1
2013-06-17,French,1
2013-06-07,English,1
2013-05-23,English,1
2013-05-13,Spanish,1
2013-04-30,German,1
2013-04-29,Russian,1
2013-04-27,English,1
2013-04-19,Russian,1
2013-03-27,Swedish,1
2013-02-18,English,1
2013-01-29,English,1
2013-01-22,English,1
