Date,Language,Rating,Count
2017-04-19,English,2,1
2017-03-15,English,5,1
2017-01-10,German,5,1
2016-12-29,English,3,1
2016-12-10,Russian,1,1
2016-11-06,Indonesian,3,1
2016-10-09,English,5,1
2016-10-08,Spanish,5,1
2016-10-05,Italian,2,1
2016-09-30,Spanish,5,1
2016-09-30,Dutch,5,1
2016-09-26,English,5,1
2016-09-26,English,4,1
2016-07-29,English,5,1
2016-07-18,English,5,1
2016-07-17,English,5,1
2016-05-07,Spanish,4,1
2016-03-19,English,5,1
2015-09-27,Turkish,5,1
2014-12-07,Portuguese,5,1
2014-11-19,Chinese (Simplified),1,1
2014-11-11,English,5,1
2014-10-05,Russian,5,1
2014-09-06,French,1,1
2014-05-22,English,5,1
2014-03-26,Chinese (Simplified),4,1
2014-02-21,English,5,1
2014-01-15,English,5,1
2013-10-30,German,1,1
2013-10-21,English,3,1
2013-05-11,Russian,5,1
2013-05-07,English,1,1
2013-05-06,English,3,1
2013-05-05,English,4,1
2013-04-12,English,5,1
2013-02-03,English,5,1
2013-01-13,Russian,5,1
2012-12-12,English,5,1
2012-11-20,German,5,1
2012-11-06,English,4,1
