Date,Language,Count
2017-04-21,Indonesian,1
2017-03-27,French,1
2017-03-23,Dutch,1
2017-03-03,Indonesian,1
2017-02-28,Turkish,1
2017-02-23,English,1
2017-02-19,Indonesian,1
2017-02-18,German,1
2017-02-18,Arabic,1
2017-02-01,English,1
2017-01-31,Portuguese,1
2017-01-28,English,1
2017-01-24,English,1
2017-01-21,Russian,1
2017-01-01,English,1
2016-12-24,English,1
2016-12-20,Japanese,1
2016-12-11,English,1
2016-12-10,Russian,1
2016-11-25,Arabic,1
2016-11-22,English,1
2016-11-18,Dutch,1
2016-11-13,Portuguese,1
2016-10-30,English,1
2016-10-27,Spanish,1
2016-10-23,Dutch,1
2016-10-21,English,1
2016-10-20,Portuguese,1
2016-10-16,Portuguese,1
2016-10-14,Portuguese,1
2016-10-08,English,1
2016-10-04,Spanish,1
2016-10-03,Czech,1
2016-09-27,French,1
2016-09-22,Arabic,1
2016-09-22,English,1
2016-09-18,Turkish,1
2016-09-13,Arabic,1
2016-08-23,English,1
2016-08-10,Arabic,1
2016-08-01,English,1
2016-07-25,Dutch,1
2016-07-17,English,1
2016-07-14,Portuguese,1
2016-07-10,English,1
2016-07-09,English,1
2016-06-27,English,1
2016-06-26,English,1
2016-06-20,Arabic,1
2016-06-15,Portuguese,1
2016-05-18,English,1
2016-05-05,Arabic,1
2016-04-29,English,1
2016-04-20,English,1
2016-04-15,Indonesian,1
2016-04-13,English,1
2016-04-12,German,1
2016-04-09,Portuguese,1
2016-04-08,Japanese,1
2016-04-06,English,1
2016-04-02,French,1
2016-04-02,Dutch,1
2016-04-01,English,1
2016-03-31,English,4
2016-03-30,German,2
2016-03-30,English,1
2016-03-26,Russian,1
2016-03-23,English,1
2016-03-12,English,1
2016-02-29,English,1
2016-02-24,English,1
2016-02-17,English,2
2016-02-16,English,1
2016-02-08,English,1
2016-02-07,Dutch,1
2016-01-25,English,1
2016-01-24,English,1
2016-01-14,Spanish,1
2016-01-09,English,1
2016-01-06,Indonesian,1
2016-01-02,Greek,1
2015-12-05,English,1
2015-12-03,English,1
2015-12-02,English,1
2015-11-24,English,1
2015-11-21,English,1
2015-11-19,Portuguese,1
2015-11-19,English,1
2015-11-18,French,1
2015-11-14,Portuguese,1
2015-11-13,English,1
2015-11-12,Czech,1
2015-11-10,Spanish,1
2015-11-09,Portuguese,1
2015-11-09,English,5
2015-11-08,Portuguese,1
2015-11-07,Portuguese,1
2015-11-04,Portuguese,1
2015-11-01,Portuguese,1
2015-10-23,English,1
2015-10-18,Russian,1
2015-10-15,Portuguese,1
2015-10-15,English,1
2015-10-12,English,2
2015-10-09,Portuguese,1
2015-10-06,Dutch,1
2015-10-01,Portuguese,1
2015-09-26,French,1
2015-09-26,English,1
2015-09-25,Portuguese,1
2015-09-25,Arabic,1
2015-09-24,Portuguese,2
2015-09-20,Arabic,1
2015-09-19,Portuguese,2
2015-09-17,English,1
2015-09-16,English,1
2015-09-09,English,1
2015-09-07,Portuguese,1
2015-09-05,English,2
2015-08-26,English,1
2015-08-23,English,1
2015-08-18,Arabic,1
2015-08-16,English,1
2015-08-01,Arabic,1
2015-07-31,Arabic,1
2015-07-31,English,1
2015-07-29,Arabic,1
2015-07-26,Portuguese,1
2015-07-24,Arabic,1
2015-07-24,English,1
2015-07-18,Indonesian,1
2015-07-13,Arabic,1
2015-07-11,Portuguese,1
2015-07-09,English,1
2015-07-05,English,1
2015-07-04,Portuguese,1
2015-07-04,English,1
2015-07-03,Arabic,1
2015-06-30,English,1
2015-06-29,Portuguese,1
2015-06-25,German,1
2015-06-21,Russian,1
2015-06-21,English,1
2015-06-16,Portuguese,1
2015-06-09,Spanish,1
2015-06-08,Spanish,1
2015-06-07,English,1
2015-06-02,Arabic,1
2015-06-02,Italian,1
2015-05-31,English,1
2015-05-19,English,1
2015-05-16,English,1
2015-05-11,English,1
2015-05-04,English,1
2015-05-02,English,1
2015-05-01,English,2
2015-04-19,English,1
2015-04-13,Arabic,1
2015-04-09,Thai,1
2015-04-02,English,1
2015-03-28,English,1
2015-03-27,English,1
2015-03-24,English,1
2015-03-18,English,1
2015-03-17,Hungarian,1
2015-03-17,English,2
2015-03-15,English,1
2015-03-12,English,1
2015-03-09,English,1
2015-03-06,English,1
2015-03-04,Portuguese,1
2015-02-27,English,2
2015-02-26,English,1
2015-02-25,English,1
2015-02-22,English,1
2015-02-20,English,2
2015-02-18,English,1
2015-02-16,English,1
2015-02-13,German,1
2015-02-12,English,1
2015-02-11,English,1
2015-02-10,English,1
2015-02-08,English,2
2015-02-07,Romanian,1
2015-02-07,German,1
2015-02-07,English,10
2015-02-06,English,22
2015-01-29,English,5
2014-12-18,English,1
2014-11-03,Dutch,1
2014-10-31,Dutch,1
