Date,Language,Count
2017-03-17,Russian,1
2017-03-16,English,1
2017-03-05,English,1
2017-03-02,German,1
2017-02-27,Russian,1
2017-02-22,English,1
2017-02-17,German,1
2017-02-11,English,1
2017-02-08,English,1
2017-02-01,Chinese (Simplified),1
2017-01-27,English,1
2017-01-24,French,1
2017-01-17,Estonian,1
2017-01-14,English,1
2017-01-13,English,1
2017-01-11,French,1
2017-01-10,Dutch,1
2017-01-07,Portuguese,1
2017-01-05,Polish,1
2017-01-05,Norwegian,1
2017-01-03,Chinese (Traditional),1
2017-01-01,Chinese (Traditional),1
2016-12-30,Russian,1
2016-12-18,English,1
2016-12-17,Dutch,1
2016-12-16,Czech,1
2016-12-13,English,1
2016-12-12,French,1
2016-12-08,German,1
2016-12-08,English,1
2016-12-06,English,1
2016-12-05,Russian,1
2016-12-04,English,1
2016-12-03,German,1
2016-12-02,Lithuanian,1
2016-12-02,French,1
2016-11-30,Russian,1
2016-11-26,Polish,1
2016-11-24,Korean,1
2016-11-22,German,1
2016-11-20,English,1
2016-11-17,Russian,1
2016-11-16,Russian,1
2016-11-11,German,1
2016-11-09,German,1
2016-11-09,Czech,1
2016-11-02,English,1
2016-10-22,Russian,1
2016-10-16,German,1
2016-10-12,Spanish,1
2016-10-09,English,1
2016-10-08,Russian,1
2016-10-02,French,1
2016-09-29,French,1
2016-09-18,English,1
2016-09-17,Russian,1
2016-08-30,German,1
2016-08-13,English,1
2016-08-11,English,1
2016-07-31,English,1
2016-07-26,English,1
2016-07-07,German,1
2016-04-23,English,1
2016-03-28,German,1
2016-03-22,German,1
