Date,Language,Rating,Count
2017-05-15,English,5,1
2017-05-02,Italian,5,1
2017-04-29,French,5,1
2017-03-19,English,5,1
2017-02-27,French,4,1
2017-02-12,Italian,5,1
2016-12-17,French,5,1
2016-12-16,French,5,1
2016-11-08,German,5,1
2016-11-01,French,1,1
2016-10-24,French,5,1
2016-10-16,French,4,1
2016-10-02,English,5,1
2016-06-03,English,5,1
2016-05-21,French,1,1
2016-05-20,French,5,1
2016-05-19,English,5,1
2016-05-01,French,5,1
2016-04-29,French,4,1
2016-03-02,Chinese (Traditional),5,1
2016-02-17,English,5,1
2016-02-03,French,5,1
2016-01-16,Italian,4,1
2015-10-22,Italian,5,1
2015-10-17,English,5,1
2015-08-15,French,5,1
2015-07-13,French,1,1
2015-06-22,Italian,5,1
2015-06-22,French,5,1
2015-04-16,English,4,1
2015-03-30,English,3,1
2015-01-04,French,5,1
2014-12-28,French,5,1
2014-12-05,English,5,1
2014-12-01,French,5,1
2014-11-25,Spanish,5,1
2014-11-14,English,5,1
2014-11-12,French,5,1
2014-10-30,Italian,5,1
2014-10-28,French,3,1
2014-10-13,French,4,1
2014-07-20,French,5,1
2014-06-25,English,1,1
2014-05-11,French,4,1
2014-04-26,French,5,1
2014-04-18,English,5,1
2014-03-09,French,5,1
2013-09-02,Russian,4,1
2013-01-03,French,4,1
2012-10-14,English,4,1
2012-08-27,French,5,1
2012-06-08,Polish,5,1
2012-02-24,German,3,1
2012-01-25,French,5,1
2011-08-31,French,5,1
