Date,Language,Rating,Count
2017-05-19,Turkish,1,1
2017-05-12,English,4,1
2017-03-30,Russian,4,1
2017-03-06,Russian,5,1
2017-01-04,Russian,2,1
2016-12-12,English,2,1
2016-10-07,English,3,1
2016-09-29,Russian,4,1
2016-08-30,Spanish,5,1
2016-08-03,English,1,1
2016-07-06,English,1,1
2016-05-23,Polish,4,1
2016-04-16,Romanian,1,1
2016-03-20,English,1,1
2016-01-25,Russian,5,1
2016-01-25,Korean,5,1
2015-10-23,Spanish,5,1
2015-10-14,Slovak,1,1
2015-10-03,English,1,1
2015-07-29,French,4,1
2015-06-30,Portuguese,1,1
2015-06-29,English,5,1
2015-06-03,Italian,5,1
2015-06-01,Malay,5,1
2015-03-24,Italian,1,1
2015-02-17,Ukrainian,3,1
2015-02-10,English,5,1
2015-01-12,Czech,1,1
2014-12-25,English,1,1
2014-12-08,English,1,1
2014-10-25,Polish,3,1
2014-10-18,Hungarian,5,1
2014-10-05,Russian,1,1
2014-09-19,Spanish,4,1
2014-08-21,French,4,1
2014-08-17,English,3,1
2014-08-03,French,5,1
2014-04-18,French,1,1
2014-04-11,English,3,1
2014-02-25,English,3,1
2014-02-25,English,1,1
2014-02-24,English,2,1
2014-01-18,English,5,1
2013-12-22,Chinese (Simplified),4,1
2013-11-27,English,4,1
2013-11-20,Russian,2,1
2013-11-05,English,5,1
2013-11-03,Italian,5,1
2013-09-30,Russian,5,1
2013-09-08,English,3,1
2013-08-20,German,4,1
2013-08-17,English,3,1
2013-08-11,Korean,5,1
2013-08-05,English,5,1
2013-07-15,English,5,1
2013-06-27,English,2,1
2013-06-26,English,4,1
2013-06-17,English,5,1
2013-04-14,English,4,1
2013-04-11,English,1,1
2013-03-27,English,3,1
2013-02-27,English,3,1
2013-02-19,English,5,1
2013-02-07,English,5,1
2013-01-31,English,5,1
2013-01-23,Italian,5,1
2013-01-14,Italian,5,1
2012-12-27,Russian,4,1
2012-12-15,Russian,1,1
2012-12-06,Polish,5,1
2012-11-22,English,5,1
2012-11-18,German,3,1
2012-11-16,Russian,5,1
2012-11-15,Russian,2,1
2012-11-15,French,4,1
2012-11-09,Slovenian,5,1
2012-11-02,Italian,5,1
2012-10-30,French,5,1
2012-10-15,Russian,5,1
2012-09-26,English,3,1
2012-09-25,German,4,1
2012-09-25,Korean,5,1
2012-09-22,Chinese (Simplified),4,1
2012-09-16,German,4,1
2012-09-13,English,4,1
2012-09-03,Japanese,5,1
2012-08-31,Italian,5,1
2012-08-19,English,3,1
2012-08-17,English,4,1
2012-08-06,English,5,1
2012-08-03,English,4,1
2012-07-27,English,5,1
2012-07-23,English,4,1
2012-07-06,English,5,1
2012-06-28,English,5,1
2012-06-26,English,4,1
2012-06-15,English,5,1
2012-06-11,English,5,1
2012-06-04,English,5,1
2012-05-23,English,5,1
2012-05-16,English,5,1
2012-05-01,English,5,1
2012-04-19,English,4,1
2012-04-09,English,2,1
2012-04-08,English,5,1
2012-04-06,English,3,1
2012-04-05,English,5,1
2012-04-03,Korean,5,1
2012-03-30,English,5,1
2012-03-25,English,5,1
2012-03-18,German,5,1
2012-03-18,English,4,1
2012-03-17,English,4,1
2012-03-15,English,4,1
2012-03-15,English,5,1
2012-03-11,Russian,5,2
2012-03-10,German,5,1
2012-03-09,Russian,5,1
2012-03-09,English,4,1
2012-03-08,English,4,1
2012-03-07,Russian,5,2
2012-03-07,French,5,1
2012-03-07,English,5,2
2012-03-07,English,4,1
2012-03-06,Swedish,5,1
2012-03-06,English,4,2
2012-03-06,English,5,3
2012-02-28,English,5,1
