Date,Language,Count
2017-04-18,French,1
2017-03-02,Turkish,1
2017-02-01,Vietnamese,1
2017-01-31,Russian,1
2016-12-30,English,1
2016-12-29,English,1
2016-11-25,English,1
2016-11-09,English,1
2016-08-26,English,1
2016-08-24,English,1
2016-08-07,Indonesian,1
2016-07-26,Portuguese,1
2016-06-24,Indonesian,1
2016-06-21,English,1
2016-06-04,Russian,1
2016-05-06,English,1
2016-04-29,German,1
2016-03-03,Indonesian,1
2016-02-11,English,1
2016-02-06,Spanish,1
2016-01-30,Thai,1
2016-01-15,Polish,1
2015-11-04,French,1
2015-10-03,Thai,1
2015-09-15,English,1
2015-08-10,Arabic,1
2015-07-14,English,1
2015-02-06,English,1
2015-01-29,Thai,1
2015-01-26,Portuguese,1
2015-01-25,English,1
2015-01-23,English,1
2015-01-14,Turkish,1
2014-12-30,Portuguese,1
2014-12-20,Vietnamese,1
2014-12-16,Hungarian,1
2014-11-22,Portuguese,1
2014-11-04,Vietnamese,1
2014-10-22,English,1
2014-09-21,English,1
2014-09-17,English,1
2014-08-07,Greek,1
2014-08-03,Spanish,1
2014-07-20,English,1
2014-07-08,Spanish,1
2014-07-05,German,1
2014-06-27,English,1
2014-06-11,English,1
2014-06-08,Russian,1
2014-05-30,Greek,1
2014-04-18,German,1
2014-04-05,English,1
2014-03-13,English,1
2014-03-01,English,1
2014-02-09,English,1
2014-01-20,Italian,1
2013-12-27,Vietnamese,1
